{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(10.258608100087477), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(134.92939584195045)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.972795709165567), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(131.1980097293734)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(93.1098903363881), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1216.5790200676029)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(18.172843219844196), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(238.25218691947757)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(14.396570723498291), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(188.95172972923234)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.95623178228026), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(13.483904480953873)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.7664807817150804), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(11.006642071455364)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.24543564876594776), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(4.204243643372517)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0672720231884092), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(1.878257096067175)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.540893488248914e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.540893488874803e-13), 'shap_norm_sq': np.float64(8585.105810736944), 'weighted_error': np.float64(0.9999999999916243)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(12.048116727152772), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(44.19502025592252)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(11.449881453197538), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(42.050222569579866)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(112.63292817343836), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(404.81268893973123)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(15.032995465442447), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(54.89644717084374)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(4.28092663176248), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(16.34801914544305)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(3.321106904723545), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(12.906862385643254)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.292519806591643), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(5.6339543876085685)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.1834456413205172), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.6576908595478883)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0442758701946418), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(1.158738460931394)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.578086843915557e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990759)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.578086853692737e-13), 'shap_norm_sq': np.float64(1865.3891589773511), 'weighted_error': np.float64(0.9999999999990757)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.8524365743353873), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(2.8474969231796994)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(8.899699831570723), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(20.28844243177998)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(614.0273689891391), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1331.7901407389093)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.36045321815208), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(21.287042645934953)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.310625806658571), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(14.677105547765603)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.2212483076686842), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(3.6468285675640155)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.3940847105631109), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.854105949515127)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.1306165474519959), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.2830868776424142)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.0170732312709351), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(1.0370030092186764)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.569720662320473e-13), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(0.99999999999966)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.569720661066249e-13), 'shap_norm_sq': np.float64(1991.6422980435768), 'weighted_error': np.float64(0.9999999999996603)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.154519609235089), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(90.33967632332889)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(6.147517015416662), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(90.23802396964378)}
{'sample_size': 10, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(16.94510319592209), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(246.9769542329842)}
{'sample_size': 20, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(2.0538691810056426), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(30.814188207272437)}
{'sample_size': 40, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.193115387166833), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(18.319393637930183)}
{'sample_size': 80, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.5931919669166801), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(9.61083874167767)}
{'sample_size': 160, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.9248459028954996), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(14.425164092632645)}
{'sample_size': 320, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.14113390666902267), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(3.0487145214149316)}
{'sample_size': 640, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': np.float64(0.02667405471037269), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(1.387203022687545)}
{'sample_size': 1280, 'difference': -256, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.992635204766175e-14), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(0.9999999999997409)}
{'sample_size': 2560, 'difference': -1536, 'noise': 0, 'n': 10, 'shap_error': np.float64(1.9926352450035103e-14), 'shap_norm_sq': np.float64(8501.861512511065), 'weighted_error': np.float64(0.9999999999997409)}
{'sample_size': 2, 'difference': 2, 'noise': 0, 'n': 10, 'shap_error': np.float64(10.065750894018706), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(10.007103963904099)}
{'sample_size': 5, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': np.float64(9.894931861089313), 'shap_norm_sq': np.float64(3556.026132002322), 'weighted_error': np.float64(9.854250668814037)}
