{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0005016281409425936, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.0079633808992665, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 6.4996843557127e-05, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.001031789563758, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 7.091454209356205e-05, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.0011257588896902, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 1.8835424610418662e-05, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.00029903399169, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 3.5295116950089166e-05, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.0005602681602468, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.06837786962486815, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0107666843095582, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 100, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.031677665993076747, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0049879161027453, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 200, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.010640406174554641, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0016754197416888, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 400, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.02086624525207498, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0032855938921232, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 800, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0046138226680013, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0007264855905718, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 1600, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.001544900664915867, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0002432585790109, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 50, 'difference': 0, 'noise': 0, 'n': 10, 'shap_error': 0.0015179064101160655, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0030639052388841, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
