{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.968826602498175), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.9479428908219809), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.0182086947474291), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.0650902181630504), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(1.020474502227667), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.1958977719577875), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.07929841606511273), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.03291427298128159), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.0166274501518233), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.005726128604321421), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.003657486394102164), 'shap_norm_sq': np.float64(176.5920909062474)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(32.93411392367061), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(74.28205476569066), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(184.35869713118998), 'shap_norm_sq': np.float64(14.841196327806758)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(562.504667349146), 'shap_norm_sq': np.float64(14.841196327806758)}
