{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.003082611077108422, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0015328444209048407, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0009921012198567077, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0005277929313101898, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 0.009856774463286819, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0026780576637956293, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0012831927628769496, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0005101506024422039, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0002254411901250996, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.00014247167306976968, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 0.06380256704166525, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.04315416500771941, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.009114611680789537, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.00636663992162274, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.003804859904195668, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0017335066716049684, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 0.015940174661293393, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.009618040511280665, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.004304311843493101, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0023315763650581284, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0013066305176862075, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0005163961004209087, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 0.09870851907068347, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.04125268335999861, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.01827332215449784, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.007987605568861527, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.004450835260470906, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0016596994332557429, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 0.029101829516569668, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.009485556021207917, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.003925150833003486, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.001386528245904722, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0010817782516923038, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0004292891566937766, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 0.056723217034398615, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.01864563751359441, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.006793703043357598, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0033177394745528524, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.001789534722976601, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.0008319036637154828, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 0.31070145296950324, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.10202663911848543, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 2020, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.052107745839284465, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 4040, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.023000289471591873, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 8080, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.009511874445848017, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 16160, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.004445090146596348, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 505, 'difference': -1, 'noise': 0, 'n': 101, 'shap_error': 0.04706391594290949, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 1010, 'difference': 0, 'noise': 0, 'n': 101, 'shap_error': 0.018119396487325863, 'shap_norm_sq': 379988.59932513384}
