{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 5.566503381249238e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496213, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 5.566503381249238e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496213, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 5.566503381249238e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496213, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 5.566503381249238e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496213, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 5.566503381249238e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496213, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
