{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 3.948289698456273e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.382014309766089e-22, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 3.948289698423546e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 6.918829560932892e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 3.948289698372167e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 3.948289698372167e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 640, 'difference': -624, 'noise': 0, 'n': 4, 'shap_error': 3.948289698414131e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 6.078060399098009e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 20, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 5.566503381224577e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496214, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 40, 'difference': -24, 'noise': 0, 'n': 4, 'shap_error': 5.566503381220872e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 80, 'difference': -64, 'noise': 0, 'n': 4, 'shap_error': 5.56650338135988e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.9999996714496212, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 160, 'difference': -144, 'noise': 0, 'n': 4, 'shap_error': 5.566503381241245e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 320, 'difference': -304, 'noise': 0, 'n': 4, 'shap_error': 5.566503381211466e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
