{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.007478535348905183), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.1393672660537892)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0005331927396185687), 'shap_norm_sq': np.float64(0.06028191442834251), 'weighted_error': np.float64(1.0099363510550905)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8113377266125898), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(6.162911584821617)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.4335679907646988), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(10.122445824791683)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.000161189969138), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(13.727933346993957)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.391653567323497), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(28.946084733873963)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.7139569519484077), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(18.27013593473541)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.4790531966832421), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(4.04843311884542)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.48854729621218307), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(4.108848355743947)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.05461564042948159), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.3475443858149911)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.037836964636936074), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.240773793733816)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.007992792692681374), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0508617087113354)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0025299818308517847), 'shap_norm_sq': np.float64(0.12201397526996292), 'weighted_error': np.float64(1.0160993657234878)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9424610873919153), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(2.1113980289312604)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7899301450822068), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.9315257902813818)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.7451793426094883), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.8787533588672887)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(2.4497974176560326), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(3.8889260127030028)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.4066222178978917), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.4795096716483558)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.10576226238960057), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.124720253395919)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.050101060531581226), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0590817006530024)}
{'sample_size': 384, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.01875198230184764), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.02211327632236)}
{'sample_size': 768, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.005196078139552146), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0061274820302277)}
{'sample_size': 1536, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0012220245942690562), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.0014410749628446)}
{'sample_size': 3072, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.0013063676731546467), 'shap_norm_sq': np.float64(0.004651982849137504), 'weighted_error': np.float64(1.001540535394959)}
{'sample_size': 3, 'difference': -1, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.8418017352170643), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(29.47696841456377)}
{'sample_size': 6, 'difference': -2, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.7545217209680455), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(60.35301579253164)}
{'sample_size': 12, 'difference': -6, 'noise': 0, 'n': 12, 'shap_error': np.float64(1.6708779788502424), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(57.523443378121584)}
{'sample_size': 24, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(42.54854030090364), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(1440.3574941259049)}
{'sample_size': 48, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(4.9594077108871515), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(168.76980497061754)}
{'sample_size': 96, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.9635912538391097), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(33.59694267235899)}
{'sample_size': 192, 'difference': 0, 'noise': 0, 'n': 12, 'shap_error': np.float64(0.43369258153197016), 'shap_norm_sq': np.float64(0.608987064543914), 'weighted_error': np.float64(15.671214552942462)}
