{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.006056380350099578, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.004100143853920116, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0002016550671396141, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0009277724164526923, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.003283100793088868, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.002388589605369389, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.00038910964579217495, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.0002520426282031101, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 6.685081771026653e-06, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 2.479259461530413e-05, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.04671696951390169, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.03602919371472904, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.02023816671523965, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.00794382046557175, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.002297966320309526, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0011978551153693528, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.04475101616222314, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.010348083804945158, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.006234715156970971, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.002066519013119935, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0008507771446101723, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0006951141894850385, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.037386689275547134, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.03294296493282803, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.041834794574976825, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.018499965107464912, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.011203038582974233, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0005752786369907784, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.02489944535618692, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.016242530601697325, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.006506242367637331, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.002462617932048448, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0020542436666644596, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0005492056066482555, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.023426331553153233, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.02487877118025132, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.016967180297078225, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.006131524173753163, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0010310334452526856, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.00046939975462937956, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.19692101848505045, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.103951000968664, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.04863390805129591, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.023008827011561733, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.007935528239748343, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0037575800639937365, 'shap_norm_sq': 73074.2043817374}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.03743217024847173, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.012705060999275514, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.005760262805756209, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.0043652581730534105, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.002281595030689351, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0004961222373936351, 'shap_norm_sq': 379988.59932513384}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.09037248162049187, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.11602455771295841, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.006229182838378589, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.002731391699414091, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.005545858054663149, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0025012183391637834, 'shap_norm_sq': 56690.81825222265}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.019665761463510453, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.0050236493331122616, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 0.006898411758631644, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 0.0008504945235284021, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 8080, 'difference': -163, 'noise': 0, 'n': 101, 'shap_error': 0.0008665066919275443, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 16160, 'difference': -123, 'noise': 0, 'n': 101, 'shap_error': 0.0001501915362748568, 'shap_norm_sq': 58010.756053934965}
{'sample_size': 505, 'difference': -99, 'noise': 0, 'n': 101, 'shap_error': 0.0004339565211040517, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 1010, 'difference': -198, 'noise': 0, 'n': 101, 'shap_error': 0.0001898556846275342, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 2020, 'difference': -193, 'noise': 0, 'n': 101, 'shap_error': 6.429321909419164e-05, 'shap_norm_sq': 28612.152929676366}
{'sample_size': 4040, 'difference': -183, 'noise': 0, 'n': 101, 'shap_error': 3.3657431653122635e-05, 'shap_norm_sq': 28612.152929676366}
