{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.019233839876057545, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.011038736595418186, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0034790565665146957, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0019095890173227007, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0048460875312131635, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001869749301483603, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0014090827340854993, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0005015955755821252, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00025570043147503185, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00012080852235945685, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.18652243012363365, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.1324279151823809, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.04806804296273277, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.023185913185328543, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.012833066242108008, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.005110950887853312, 'shap_norm_sq': 152.40773170613983}
