{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.3896572188062327), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.1340656511443363), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.05057871242681169), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.019240490206368643), 'shap_norm_sq': np.float64(126.26087639292047)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(3.230583548594681), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(6.808046545545763), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(13.210001821593773), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(30.928623897878165), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(8.84450676434146), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(6.802690477669018), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 1264, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(2.1127290336812057), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 2528, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.9739767174322613), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 5056, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.5168372932451655), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 10112, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.20438532371856122), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 20224, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(0.08447758758783974), 'shap_norm_sq': np.float64(42.1429054046902)}
{'sample_size': 19, 'difference': -9, 'noise': 0, 'n': 79, 'shap_error': np.float64(43.344881259879266), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 39, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(100.92628686131073), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 79, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(297.44614586471965), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 158, 'difference': 1, 'noise': 0, 'n': 79, 'shap_error': np.float64(628.355304402096), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 316, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(162.12008083478707), 'shap_norm_sq': np.float64(9.498553151607648)}
{'sample_size': 632, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': np.float64(108.85068686635711), 'shap_norm_sq': np.float64(9.498553151607648)}
