{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0008927398448912049, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.002743394452782, 'gamma': 0.3424443698143275, 'normalized_gamma': 6.6}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.0007446527075912229, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.0022883396403626, 'gamma': 0.3424443698143275, 'normalized_gamma': 6.6}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 6.400494912423228e-05, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.0001966902510941, 'gamma': 0.3424443698143275, 'normalized_gamma': 6.6}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.00016267892309556028, 'shap_norm_sq': 0.05192413524733969, 'weighted_error': 1.0004999082283952, 'gamma': 0.3424443698143275, 'normalized_gamma': 6.6}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.0022285255362641545, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.0597977323276868, 'gamma': 0.045594076379737454, 'normalized_gamma': 0.098}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0004304477181581013, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.0115502687103812, 'gamma': 0.045594076379737454, 'normalized_gamma': 0.098}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0013464704587146828, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.036129882028341, 'gamma': 0.045594076379737454, 'normalized_gamma': 0.098}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.00037429371462745464, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.0100434966873706, 'gamma': 0.045594076379737454, 'normalized_gamma': 0.098}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00016160718913387886, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.0043364362404017, 'gamma': 0.045594076379737454, 'normalized_gamma': 0.098}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 1.1425654999271301e-05, 'shap_norm_sq': 0.4654308295236672, 'weighted_error': 1.0003065669373967, 'gamma': 0.045594076379737454, 'normalized_gamma': 0.098}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00775179804406334, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0088916518620288, 'gamma': 0.8746670657073672, 'normalized_gamma': 48.0}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.008357609166626655, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0095865718566757, 'gamma': 0.8746670657073672, 'normalized_gamma': 48.0}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.005284385776865102, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0060614103970635, 'gamma': 0.8746670657073672, 'normalized_gamma': 48.0}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.0025347625064136856, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0029074859664586, 'gamma': 0.8746670657073672, 'normalized_gamma': 48.0}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.0008645178142784532, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0009916435456987, 'gamma': 0.8746670657073672, 'normalized_gamma': 48.0}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0008504929207292758, 'shap_norm_sq': 0.018084552695871458, 'weighted_error': 1.0009755487493763, 'gamma': 0.8746670657073672, 'normalized_gamma': 48.0}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.022204010940578934, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0696967218737707, 'gamma': 0.3373182985674001, 'normalized_gamma': 21.0}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.00307611363051448, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0096557252758769, 'gamma': 0.3373182985674001, 'normalized_gamma': 21.0}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.001485975106343964, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0046643549615115, 'gamma': 0.3373182985674001, 'normalized_gamma': 21.0}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.000584120657678383, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0018335145556345, 'gamma': 0.3373182985674001, 'normalized_gamma': 21.0}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.00012090365930806824, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0003795122754664, 'gamma': 0.3373182985674001, 'normalized_gamma': 21.0}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 5.80830379255389e-05, 'shap_norm_sq': 0.01611218830828111, 'weighted_error': 1.0001823148934021, 'gamma': 0.3373182985674001, 'normalized_gamma': 21.0}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.25957970018252374, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.2251620094203857, 'gamma': 1.2375002389752618, 'normalized_gamma': 1300.0}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.04634499624165527, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0402001255289715, 'gamma': 1.2375002389752618, 'normalized_gamma': 1300.0}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.10230754140437137, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0887427131192353, 'gamma': 1.2375002389752618, 'normalized_gamma': 1300.0}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.023949507273807607, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.0207740839794133, 'gamma': 1.2375002389752618, 'normalized_gamma': 1300.0}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.005385731044407599, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.004671663990005, 'gamma': 1.2375002389752618, 'normalized_gamma': 1300.0}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.0067220914518130274, 'shap_norm_sq': 0.0009441629430805183, 'weighted_error': 1.005830796987697, 'gamma': 1.2375002389752618, 'normalized_gamma': 1300.0}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.001003815241099291, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.008146153502083, 'gamma': 0.15579416655489273, 'normalized_gamma': 2.0}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.000586950308139282, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0047632360684013, 'gamma': 0.15579416655489273, 'normalized_gamma': 2.0}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0002319258708316036, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0018821143714214, 'gamma': 0.15579416655489273, 'normalized_gamma': 2.0}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.00013373606958609396, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0010852693042347, 'gamma': 0.15579416655489273, 'normalized_gamma': 2.0}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 2.6416026459110354e-05, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0002143697814132, 'gamma': 0.15579416655489273, 'normalized_gamma': 2.0}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 4.869004732061643e-05, 'shap_norm_sq': 0.07932903817108211, 'weighted_error': 1.0003951391884376, 'gamma': 0.15579416655489273, 'normalized_gamma': 2.0}
{'sample_size': 60, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.0018687973397423835, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0043393041540223, 'gamma': 0.5669574197135753, 'normalized_gamma': 2.6}
{'sample_size': 120, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 0.00732412030816453, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0170064744569562, 'gamma': 0.5669574197135753, 'normalized_gamma': 2.6}
{'sample_size': 240, 'difference': -15, 'noise': 0, 'n': 12, 'shap_error': 0.0005289175946599551, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0012281456523504, 'gamma': 0.5669574197135753, 'normalized_gamma': 2.6}
{'sample_size': 480, 'difference': -5, 'noise': 0, 'n': 12, 'shap_error': 0.0010192736301697105, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0023667249395822, 'gamma': 0.5669574197135753, 'normalized_gamma': 2.6}
{'sample_size': 960, 'difference': -10, 'noise': 0, 'n': 12, 'shap_error': 0.0004603385069271292, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.0010688863046366, 'gamma': 0.5669574197135753, 'normalized_gamma': 2.6}
{'sample_size': 1920, 'difference': -20, 'noise': 0, 'n': 12, 'shap_error': 3.258624147541584e-05, 'shap_norm_sq': 0.22200627575780213, 'weighted_error': 1.000075664253278, 'gamma': 0.5669574197135753, 'normalized_gamma': 2.6}
