{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.00023032827948831573, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.0036565295376902, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.00014848601742525303, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.002357238745768, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 9.032752738696848e-05, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.0014339268814823, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 1.6016316927902898e-05, 'shap_norm_sq': 2716.7105743894367, 'weighted_error': 1.0002542613600132, 'gamma': 0.06655590740698626, 'normalized_gamma': 2.4e-05}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.1639267265821873, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.025811717148, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.06665088048045198, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0104947867006613, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.019666729367778926, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0030966967554513, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 0.02180920914264074, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.0034340689698098, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.008190933170309935, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.001289728792598, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.0019808833322703585, 'shap_norm_sq': 613.7023286160955, 'weighted_error': 1.000311907391268, 'gamma': 7.20259012591899, 'normalized_gamma': 0.012}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.0016296873912101289, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0032894839873574, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.00019044964495196163, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0003844250110647, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.0002737686260223879, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.000552603543893, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 7.617237632668771e-05, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.000153754507312, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 8.077472031300264e-05, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.0001630401662165, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 4.5520238179846336e-06, 'shap_norm_sq': 1277.4214122391115, 'weighted_error': 1.000009190425596, 'gamma': 0.5574440648179769, 'normalized_gamma': 0.00044}
{'sample_size': 50, 'difference': -8, 'noise': 0, 'n': 10, 'shap_error': 0.006361897138161089, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0042512873118594, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 100, 'difference': -16, 'noise': 0, 'n': 10, 'shap_error': 0.0008634263302851605, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.000576956201949, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 200, 'difference': -11, 'noise': 0, 'n': 10, 'shap_error': 0.0016630958683064103, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0011113568805188, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 400, 'difference': -1, 'noise': 0, 'n': 10, 'shap_error': 6.704847607212744e-05, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0000448028822941, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 800, 'difference': -2, 'noise': 0, 'n': 10, 'shap_error': 0.00013461690337461247, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0000899585449348, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
{'sample_size': 1600, 'difference': -4, 'noise': 0, 'n': 10, 'shap_error': 0.00022361674961323582, 'shap_norm_sq': 582.7705059484754, 'weighted_error': 1.0001494246386795, 'gamma': 1.551589850689734, 'normalized_gamma': 0.0027}
