{'sample_size': 1200, 'difference': 2, 'noise': 0, 'n': 60, 'shap_error': 0.0014351987384543475, 'shap_norm_sq': 7.477124728176402}
{'sample_size': 2400, 'difference': 202, 'noise': 0, 'n': 60, 'shap_error': 0.0005996073611374003, 'shap_norm_sq': 7.477124728176402}
{'sample_size': 4800, 'difference': -32, 'noise': 0, 'n': 60, 'shap_error': 0.0002786948710226691, 'shap_norm_sq': 7.477124728176402}
{'sample_size': 9600, 'difference': -84, 'noise': 0, 'n': 60, 'shap_error': 0.00013348518462039948, 'shap_norm_sq': 7.477124728176402}
{'sample_size': 300, 'difference': 40, 'noise': 0, 'n': 60, 'shap_error': 0.008771725829242825, 'shap_norm_sq': 5.3821000672537265}
{'sample_size': 600, 'difference': -12, 'noise': 0, 'n': 60, 'shap_error': 0.003918075714997238, 'shap_norm_sq': 5.3821000672537265}
{'sample_size': 1200, 'difference': 62, 'noise': 0, 'n': 60, 'shap_error': 0.0027143494510190615, 'shap_norm_sq': 5.3821000672537265}
{'sample_size': 2400, 'difference': 100, 'noise': 0, 'n': 60, 'shap_error': 0.0008336571802529128, 'shap_norm_sq': 5.3821000672537265}
{'sample_size': 4800, 'difference': -136, 'noise': 0, 'n': 60, 'shap_error': 0.0005026693036889229, 'shap_norm_sq': 5.3821000672537265}
{'sample_size': 9600, 'difference': -150, 'noise': 0, 'n': 60, 'shap_error': 0.0002380063892633663, 'shap_norm_sq': 5.3821000672537265}
{'sample_size': 300, 'difference': -28, 'noise': 0, 'n': 60, 'shap_error': 0.019307144309164918, 'shap_norm_sq': 3.019764463476448}
{'sample_size': 600, 'difference': -8, 'noise': 0, 'n': 60, 'shap_error': 0.007273487474247438, 'shap_norm_sq': 3.019764463476448}
{'sample_size': 1200, 'difference': 16, 'noise': 0, 'n': 60, 'shap_error': 0.002420013211706588, 'shap_norm_sq': 3.019764463476448}
{'sample_size': 2400, 'difference': 20, 'noise': 0, 'n': 60, 'shap_error': 0.001098573697583596, 'shap_norm_sq': 3.019764463476448}
{'sample_size': 4800, 'difference': -70, 'noise': 0, 'n': 60, 'shap_error': 0.0003813552431186207, 'shap_norm_sq': 3.019764463476448}
{'sample_size': 9600, 'difference': 20, 'noise': 0, 'n': 60, 'shap_error': 0.00024061195144193186, 'shap_norm_sq': 3.019764463476448}
{'sample_size': 300, 'difference': -26, 'noise': 0, 'n': 60, 'shap_error': 0.0038518039778717155, 'shap_norm_sq': 5.514538739784413}
{'sample_size': 600, 'difference': -22, 'noise': 0, 'n': 60, 'shap_error': 0.0014695662058797233, 'shap_norm_sq': 5.514538739784413}
{'sample_size': 1200, 'difference': -34, 'noise': 0, 'n': 60, 'shap_error': 0.0007470647397672697, 'shap_norm_sq': 5.514538739784413}
{'sample_size': 2400, 'difference': -2, 'noise': 0, 'n': 60, 'shap_error': 0.00038563986343162276, 'shap_norm_sq': 5.514538739784413}
{'sample_size': 4800, 'difference': -86, 'noise': 0, 'n': 60, 'shap_error': 0.00018375001469344554, 'shap_norm_sq': 5.514538739784413}
{'sample_size': 9600, 'difference': 50, 'noise': 0, 'n': 60, 'shap_error': 6.634156861420449e-05, 'shap_norm_sq': 5.514538739784413}
{'sample_size': 300, 'difference': 34, 'noise': 0, 'n': 60, 'shap_error': 0.031112691946646693, 'shap_norm_sq': 2.7407092898068885}
{'sample_size': 600, 'difference': 20, 'noise': 0, 'n': 60, 'shap_error': 0.009898392706268255, 'shap_norm_sq': 2.7407092898068885}
{'sample_size': 1200, 'difference': 18, 'noise': 0, 'n': 60, 'shap_error': 0.005269386393795842, 'shap_norm_sq': 2.7407092898068885}
{'sample_size': 2400, 'difference': 0, 'noise': 0, 'n': 60, 'shap_error': 0.0025788124905706073, 'shap_norm_sq': 2.7407092898068885}
{'sample_size': 4800, 'difference': 164, 'noise': 0, 'n': 60, 'shap_error': 0.001286840773109118, 'shap_norm_sq': 2.7407092898068885}
{'sample_size': 9600, 'difference': -290, 'noise': 0, 'n': 60, 'shap_error': 0.0006906372217087639, 'shap_norm_sq': 2.7407092898068885}
{'sample_size': 300, 'difference': -42, 'noise': 0, 'n': 60, 'shap_error': 0.0001368728657058263, 'shap_norm_sq': 2.72373910298738}
