{'sample_size': 1200, 'difference': 28, 'noise': 0, 'n': 60, 'shap_error': 0.0009762178453847546, 'shap_norm_sq': 10.792325702306792}
{'sample_size': 2400, 'difference': 64, 'noise': 0, 'n': 60, 'shap_error': 0.0005610904191573063, 'shap_norm_sq': 10.792325702306792}
{'sample_size': 4800, 'difference': -120, 'noise': 0, 'n': 60, 'shap_error': 0.00043056207669667744, 'shap_norm_sq': 10.792325702306792}
{'sample_size': 9600, 'difference': -8, 'noise': 0, 'n': 60, 'shap_error': 0.00014987094246659286, 'shap_norm_sq': 10.792325702306792}
{'sample_size': 300, 'difference': 22, 'noise': 0, 'n': 60, 'shap_error': 0.0020985384505252938, 'shap_norm_sq': 7.935586107367179}
{'sample_size': 600, 'difference': 16, 'noise': 0, 'n': 60, 'shap_error': 0.0010687693630812428, 'shap_norm_sq': 7.935586107367179}
{'sample_size': 1200, 'difference': -14, 'noise': 0, 'n': 60, 'shap_error': 0.0005195929993783734, 'shap_norm_sq': 7.935586107367179}
{'sample_size': 2400, 'difference': -84, 'noise': 0, 'n': 60, 'shap_error': 0.00019573401710331638, 'shap_norm_sq': 7.935586107367179}
{'sample_size': 4800, 'difference': 18, 'noise': 0, 'n': 60, 'shap_error': 0.00010859762525726787, 'shap_norm_sq': 7.935586107367179}
{'sample_size': 9600, 'difference': 176, 'noise': 0, 'n': 60, 'shap_error': 5.8644714557935326e-05, 'shap_norm_sq': 7.935586107367179}
{'sample_size': 300, 'difference': 22, 'noise': 0, 'n': 60, 'shap_error': 0.0026027577834078323, 'shap_norm_sq': 5.672347195757074}
{'sample_size': 600, 'difference': 38, 'noise': 0, 'n': 60, 'shap_error': 0.0009739319364612228, 'shap_norm_sq': 5.672347195757074}
{'sample_size': 1200, 'difference': 92, 'noise': 0, 'n': 60, 'shap_error': 0.0004758844719093855, 'shap_norm_sq': 5.672347195757074}
{'sample_size': 2400, 'difference': -22, 'noise': 0, 'n': 60, 'shap_error': 0.00025535058233392186, 'shap_norm_sq': 5.672347195757074}
{'sample_size': 4800, 'difference': 78, 'noise': 0, 'n': 60, 'shap_error': 7.691670533827072e-05, 'shap_norm_sq': 5.672347195757074}
{'sample_size': 9600, 'difference': -86, 'noise': 0, 'n': 60, 'shap_error': 7.714572512250954e-05, 'shap_norm_sq': 5.672347195757074}
{'sample_size': 300, 'difference': -20, 'noise': 0, 'n': 60, 'shap_error': 0.00014002117561849665, 'shap_norm_sq': 8.83670582099933}
{'sample_size': 600, 'difference': 32, 'noise': 0, 'n': 60, 'shap_error': 2.376261956150673e-05, 'shap_norm_sq': 8.83670582099933}
{'sample_size': 1200, 'difference': -60, 'noise': 0, 'n': 60, 'shap_error': 2.0580928060622868e-05, 'shap_norm_sq': 8.83670582099933}
{'sample_size': 2400, 'difference': -92, 'noise': 0, 'n': 60, 'shap_error': 1.3008641641228862e-05, 'shap_norm_sq': 8.83670582099933}
