{'sample_size': 2020, 'difference': 52, 'noise': 0, 'n': 101, 'shap_error': 0.0023961211316569832, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 4040, 'difference': -34, 'noise': 0, 'n': 101, 'shap_error': 0.0011063816341399095, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 8080, 'difference': -100, 'noise': 0, 'n': 101, 'shap_error': 0.0004596937500252697, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 16160, 'difference': -10, 'noise': 0, 'n': 101, 'shap_error': 0.00022128327621351657, 'shap_norm_sq': 70563.89182048912}
{'sample_size': 505, 'difference': -33, 'noise': 0, 'n': 101, 'shap_error': 0.004518838501996629, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 1010, 'difference': -2, 'noise': 0, 'n': 101, 'shap_error': 0.0013246863689114997, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 2020, 'difference': -50, 'noise': 0, 'n': 101, 'shap_error': 0.0006509340702764081, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 4040, 'difference': -8, 'noise': 0, 'n': 101, 'shap_error': 0.00035239308544878184, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 8080, 'difference': -174, 'noise': 0, 'n': 101, 'shap_error': 0.00016747169996321934, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 16160, 'difference': -36, 'noise': 0, 'n': 101, 'shap_error': 8.095202077780537e-05, 'shap_norm_sq': 42515.97581372667}
{'sample_size': 505, 'difference': -33, 'noise': 0, 'n': 101, 'shap_error': 0.04974912383412386, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 1010, 'difference': -34, 'noise': 0, 'n': 101, 'shap_error': 0.017110359132749976, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 2020, 'difference': -78, 'noise': 0, 'n': 101, 'shap_error': 0.005202420040600734, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 4040, 'difference': 28, 'noise': 0, 'n': 101, 'shap_error': 0.0032602358731857223, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 8080, 'difference': -98, 'noise': 0, 'n': 101, 'shap_error': 0.0019002040843200995, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 16160, 'difference': -146, 'noise': 0, 'n': 101, 'shap_error': 0.0009720656768786337, 'shap_norm_sq': 57989.40208692046}
{'sample_size': 505, 'difference': 5, 'noise': 0, 'n': 101, 'shap_error': 0.013224813754856218, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 1010, 'difference': -10, 'noise': 0, 'n': 101, 'shap_error': 0.006058376425241757, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 2020, 'difference': -4, 'noise': 0, 'n': 101, 'shap_error': 0.0024483295218067046, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 4040, 'difference': -26, 'noise': 0, 'n': 101, 'shap_error': 0.0012544616530388963, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 8080, 'difference': 64, 'noise': 0, 'n': 101, 'shap_error': 0.0005293859213472044, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 16160, 'difference': -150, 'noise': 0, 'n': 101, 'shap_error': 0.00028324941472565005, 'shap_norm_sq': 218736.90952783328}
{'sample_size': 505, 'difference': 15, 'noise': 0, 'n': 101, 'shap_error': 0.055053809211377404, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 1010, 'difference': -18, 'noise': 0, 'n': 101, 'shap_error': 0.026812660192139147, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 2020, 'difference': -26, 'noise': 0, 'n': 101, 'shap_error': 0.010427588294341995, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 4040, 'difference': -50, 'noise': 0, 'n': 101, 'shap_error': 0.005351699440124641, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 8080, 'difference': -38, 'noise': 0, 'n': 101, 'shap_error': 0.002104743880899653, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 16160, 'difference': -188, 'noise': 0, 'n': 101, 'shap_error': 0.0010926021906038864, 'shap_norm_sq': 64280.028071749155}
{'sample_size': 505, 'difference': -27, 'noise': 0, 'n': 101, 'shap_error': 0.012142320275496598, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 1010, 'difference': 16, 'noise': 0, 'n': 101, 'shap_error': 0.004481487782175622, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 2020, 'difference': 4, 'noise': 0, 'n': 101, 'shap_error': 0.001774365091099842, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 4040, 'difference': -116, 'noise': 0, 'n': 101, 'shap_error': 0.0014209052966027919, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 8080, 'difference': 106, 'noise': 0, 'n': 101, 'shap_error': 0.0005031154752389747, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 16160, 'difference': 30, 'noise': 0, 'n': 101, 'shap_error': 0.00031462520340361916, 'shap_norm_sq': 79156.80629839945}
{'sample_size': 505, 'difference': -21, 'noise': 0, 'n': 101, 'shap_error': 0.031036914814392646, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 1010, 'difference': 14, 'noise': 0, 'n': 101, 'shap_error': 0.006355472761707798, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 2020, 'difference': 8, 'noise': 0, 'n': 101, 'shap_error': 0.0036265201647067333, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 4040, 'difference': -114, 'noise': 0, 'n': 101, 'shap_error': 0.0017919375981948248, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 8080, 'difference': -26, 'noise': 0, 'n': 101, 'shap_error': 0.0008109618729310456, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 16160, 'difference': -208, 'noise': 0, 'n': 101, 'shap_error': 0.000495314649891248, 'shap_norm_sq': 59602.05839434324}
{'sample_size': 505, 'difference': -11, 'noise': 0, 'n': 101, 'shap_error': 0.15055952766959316, 'shap_norm_sq': 73074.2043817374}
