{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0014834957594103174, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0007360320843379051, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00040194234422212213, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00013811292036640963, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 1.4422760420838502e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.008705589094049e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.044344215242556e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 9.60736629353341e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 9.747558615211574e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 9.4414415780349e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.04448328642081006, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0119333646620019, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.007889663328590953, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0034397104325822147, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0012650607660428667, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0008186180573435971, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.0007491244064973806, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0002699557651084957, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00011515339793966068, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 4.61254372546168e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 2.5860955637182227e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 1.7354874194931844e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.009664914591771693, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.004128859459201123, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0014263675410239656, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0011202157538019145, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0004854126716786464, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00017328200295050174, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.015739002912972106, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.004986722844870759, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0029771516825692927, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0008243187583133323, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0006962005922539282, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0003546728545923393, 'shap_norm_sq': 12.189123000898293}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.012687548689673086, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.005898274092768293, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0031691696532840153, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0013760379218952623, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0005009466930698549, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00035761169684321093, 'shap_norm_sq': 22.170301629600175}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.005635474009117111, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001566553959845952, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0011381596634085515, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.000463718593638867, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00020839709360181814, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 9.227499467712515e-05, 'shap_norm_sq': 199.08895971729703}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.016238566354341965, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.006194234866493938, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0035299486877753026, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0020630311435386535, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0008015256490505228, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0004266435125307747, 'shap_norm_sq': 174.68228798882984}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 0.004718739055778799, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 790, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.001776603087324265, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 1580, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.0009233260884105315, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 3160, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00027276666393428247, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 6320, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 0.00020108541773000268, 'shap_norm_sq': 20.75537075771844}
{'sample_size': 12640, 'difference': 0, 'noise': 0, 'n': 79, 'shap_error': 9.13329402141509e-05, 'shap_norm_sq': 20.75537075771844}
