{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 3.9482896983861555e-09, 'shap_norm_sq': 1.0623246273894683e-06, 'weighted_error': 1.80415049310402e-23, 'gamma': 5.12744358953032e-09, 'normalized_gamma': 0.0048}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 5.566503381241301e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 5.566503381241301e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 5.566503381241301e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 5.566503381241301e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 5.566503381241301e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 5.566503381241301e-09, 'shap_norm_sq': 1.373247489393082e-06, 'weighted_error': 0.999999671449621, 'gamma': 0.01721648729608628, 'normalized_gamma': 13000.0}
{'sample_size': 20, 'difference': -2, 'noise': 0, 'n': 4, 'shap_error': 1.2910624442687181e-05, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0092983136595775, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 40, 'difference': -4, 'noise': 0, 'n': 4, 'shap_error': 3.2276189523711816e-06, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0023245776217706, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 80, 'difference': -8, 'noise': 0, 'n': 4, 'shap_error': 8.066182504366807e-07, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.000581133619369, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 160, 'difference': -7, 'noise': 0, 'n': 4, 'shap_error': 2.322152827994873e-06, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.001673019783782, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 320, 'difference': -5, 'noise': 0, 'n': 4, 'shap_error': 2.952818041276378e-07, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.0002125396913535, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
{'sample_size': 640, 'difference': -1, 'noise': 0, 'n': 4, 'shap_error': 1.6381833884846536e-07, 'shap_norm_sq': 1.043426041759925, 'weighted_error': 1.000118046642616, 'gamma': 0.0018246003802347849, 'normalized_gamma': 0.0017}
