{'sample_size': 1580, 'difference': 30, 'noise': 0, 'n': 79, 'shap_error': 0.001207646906486372, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 3160, 'difference': 28, 'noise': 0, 'n': 79, 'shap_error': 0.0005427993869461827, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 6320, 'difference': 22, 'noise': 0, 'n': 79, 'shap_error': 0.00023095851911545846, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 12640, 'difference': -156, 'noise': 0, 'n': 79, 'shap_error': 0.00010248813342380437, 'shap_norm_sq': 14.740428467777933}
{'sample_size': 395, 'difference': -1, 'noise': 0, 'n': 79, 'shap_error': 1.1473691579596742e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 790, 'difference': -20, 'noise': 0, 'n': 79, 'shap_error': 1.0738244489896515e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 1580, 'difference': 40, 'noise': 0, 'n': 79, 'shap_error': 9.229694785271276e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 3160, 'difference': 4, 'noise': 0, 'n': 79, 'shap_error': 1.013316218743885e-12, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 6320, 'difference': 54, 'noise': 0, 'n': 79, 'shap_error': 8.578547649271221e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 12640, 'difference': 170, 'noise': 0, 'n': 79, 'shap_error': 9.059239958594875e-13, 'shap_norm_sq': 18.37896431333642}
{'sample_size': 395, 'difference': 5, 'noise': 0, 'n': 79, 'shap_error': 0.024697853156272633, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 790, 'difference': 20, 'noise': 0, 'n': 79, 'shap_error': 0.00955122139790966, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 1580, 'difference': -22, 'noise': 0, 'n': 79, 'shap_error': 0.0036102235740884656, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 3160, 'difference': -20, 'noise': 0, 'n': 79, 'shap_error': 0.001743968191277195, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 6320, 'difference': 40, 'noise': 0, 'n': 79, 'shap_error': 0.0008706670583264737, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 12640, 'difference': -140, 'noise': 0, 'n': 79, 'shap_error': 0.00039303586142980213, 'shap_norm_sq': 152.40773170613983}
{'sample_size': 395, 'difference': -13, 'noise': 0, 'n': 79, 'shap_error': 0.0003466309116599777, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 790, 'difference': 78, 'noise': 0, 'n': 79, 'shap_error': 0.00013660263758408572, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 1580, 'difference': -58, 'noise': 0, 'n': 79, 'shap_error': 6.651313445345933e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 3160, 'difference': -32, 'noise': 0, 'n': 79, 'shap_error': 2.6797700045072096e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 6320, 'difference': 38, 'noise': 0, 'n': 79, 'shap_error': 1.0718447476935597e-05, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 12640, 'difference': 72, 'noise': 0, 'n': 79, 'shap_error': 6.4527297140034e-06, 'shap_norm_sq': 10.023857202259894}
{'sample_size': 395, 'difference': 11, 'noise': 0, 'n': 79, 'shap_error': 0.004330991037676939, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 790, 'difference': 54, 'noise': 0, 'n': 79, 'shap_error': 0.0016449150681542711, 'shap_norm_sq': 47.34563643628872}
{'sample_size': 1580, 'difference': -16, 'noise': 0, 'n': 79, 'shap_error': 0.0012192663364811718, 'shap_norm_sq': 47.34563643628872}
