{'sample_size': 480, 'difference': -117, 'noise': 0, 'n': 60, 'shap_error': 0.015796944267832205, 'shap_norm_sq': 4.9497921784935075}
{'sample_size': 960, 'difference': -113, 'noise': 0, 'n': 60, 'shap_error': 0.004942430976655533, 'shap_norm_sq': 4.9497921784935075}
{'sample_size': 1920, 'difference': -105, 'noise': 0, 'n': 60, 'shap_error': 0.003977083165591674, 'shap_norm_sq': 4.9497921784935075}
{'sample_size': 3840, 'difference': -89, 'noise': 0, 'n': 60, 'shap_error': 0.0010831243940983052, 'shap_norm_sq': 4.9497921784935075}
{'sample_size': 7680, 'difference': -57, 'noise': 0, 'n': 60, 'shap_error': 0.0013927816291282754, 'shap_norm_sq': 4.9497921784935075}
{'sample_size': 9600, 'difference': -41, 'noise': 0, 'n': 60, 'shap_error': 0.0003790085749567451, 'shap_norm_sq': 4.9497921784935075}
{'sample_size': 240, 'difference': -119, 'noise': 0, 'n': 60, 'shap_error': 0.0011856873332196922, 'shap_norm_sq': 3.39109585466084}
{'sample_size': 480, 'difference': -117, 'noise': 0, 'n': 60, 'shap_error': 0.00036377525910761345, 'shap_norm_sq': 3.39109585466084}
{'sample_size': 960, 'difference': -113, 'noise': 0, 'n': 60, 'shap_error': 0.00011821500278241471, 'shap_norm_sq': 3.39109585466084}
{'sample_size': 1920, 'difference': -105, 'noise': 0, 'n': 60, 'shap_error': 4.6807326914016393e-05, 'shap_norm_sq': 3.39109585466084}
{'sample_size': 3840, 'difference': -89, 'noise': 0, 'n': 60, 'shap_error': 0.0001072893018862524, 'shap_norm_sq': 3.39109585466084}
{'sample_size': 7680, 'difference': -57, 'noise': 0, 'n': 60, 'shap_error': 1.8071736624966543e-05, 'shap_norm_sq': 3.39109585466084}
{'sample_size': 9600, 'difference': -41, 'noise': 0, 'n': 60, 'shap_error': 9.041077180788535e-06, 'shap_norm_sq': 3.39109585466084}
{'sample_size': 240, 'difference': -119, 'noise': 0, 'n': 60, 'shap_error': 0.028818035756251567, 'shap_norm_sq': 4.54154695056355}
{'sample_size': 480, 'difference': -117, 'noise': 0, 'n': 60, 'shap_error': 0.007445499147540428, 'shap_norm_sq': 4.54154695056355}
{'sample_size': 960, 'difference': -113, 'noise': 0, 'n': 60, 'shap_error': 0.005756240046293786, 'shap_norm_sq': 4.54154695056355}
{'sample_size': 1920, 'difference': -105, 'noise': 0, 'n': 60, 'shap_error': 0.0008949454829059446, 'shap_norm_sq': 4.54154695056355}
{'sample_size': 3840, 'difference': -89, 'noise': 0, 'n': 60, 'shap_error': 0.0011374840049138985, 'shap_norm_sq': 4.54154695056355}
